Country,Budget_Level,Climate,Development_Level,Technology,Water,Energy,Population_Size,Religion,Economy,Infrastructure,Government,Geography,Urbanization,Natural_Resources,Income_Level,Digitalization,Healthcare,Agriculture,Education,Political_Stability,Disaster_Risk,Carbon_Emissions
Cameroon,Low,Tropical,Developing,Low,Moderate,Hydro,High,Christianity/Islam,Agriculture/Oil,Low,Republic,Forest,Medium,Oil/Timber,Lower-Middle,Low,Low,High,Medium,Low,Flood Risk,Medium
Canada,High,Cold,Developed,High,Adequate,Hydro,Low,Christianity,Diversified,Very High,Federal Monarchy,Large,High,Forests,High,High,Very High,Medium,Very High,Very High,Wildfires,Medium
Central African Republic,Low,Tropical,Least Developed,Very Low,Moderate,Hydro,Low,Christianity,Agriculture,Very Low,Republic,Forest,Low,Diamonds,Low,Very Low,Very Low,High,Very Low,Very Low,Conflict,Very Low
Chad,Low,Desert,Least Developed,Very Low,Scarce,Oil,Medium,Islam/Christianity,Agriculture/Oil,Very Low,Republic,Desert,Low,Oil,Low,Very Low,Very Low,High,Very Low,Very Low,Drought,Low
Chile,High,Varied,Developed,High,Moderate,Solar,Medium,Christianity,Mining,High,Republic,Mountain/Coast,High,Copper,High,High,High,Medium,High,High,Earthquake,Medium
China,High,Varied,Developing,Very High,Moderate,Coal/Renewable,Very High,Mixed,Industrial,High,Republic,Large,Very High,Rare Earths,Upper-Middle,Very High,High,High,High,High,Flood Risk,Very High
Colombia,Medium,Tropical,Developing,Medium,Adequate,Hydro,High,Christianity,Diversified,Medium,Republic,Mountain/Forest,High,Coal/Oil,Upper-Middle,Medium,Medium,High,Medium,Medium,Landslides,Medium
Comoros,Low,Tropical,Least Developed,Very Low,Limited,Hydro,Very Low,Islam,Agriculture,Very Low,Republic,Island,Low,None,Low,Very Low,Very Low,High,Low,Low,Cyclones,Very Low
Congo,Low,Tropical,Developing,Low,Adequate,Hydro,Low,Christianity,Oil,Low,Republic,Forest,Medium,Oil,Lower-Middle,Low,Low,Medium,Low,Low,Flood Risk,Medium
Costa Rica,High,Tropical,Developing,High,Adequate,Hydro,Low,Christianity,Tourism,High,Republic,Forest,High,None,High,High,High,Medium,High,Very High,Volcano,Low
Côte d'Ivoire,Medium,Tropical,Developing,Medium,Moderate,Hydro,High,Christianity/Islam,Agriculture,Medium,Republic,Forest,High,Cocoa,Lower-Middle,Medium,Medium,Very High,Medium,Medium,Flood Risk,Medium
Croatia,High,Mediterranean,Developed,High,Adequate,Hydro,Low,Christianity,Tourism,High,Republic,Coast/Mountain,High,None,High,High,High,Low,High,High,Earthquake,Low
Cuba,Medium,Tropical,Developing,Medium,Moderate,Solar,Medium,Christianity,State Economy,Medium,Republic,Island,High,None,Upper-Middle,Medium,High,Medium,High,High,Hurricanes,Low
Cyprus,High,Mediterranean,Developed,High,Scarce,Solar,Low,Christianity,Services,High,Republic,Island,High,None,High,High,High,Low,High,High,Drought,Medium
Czech Republic,High,Temperate,Developed,High,Adequate,Nuclear,Medium,Christianity,Industrial,High,Republic,Plains,High,Coal,High,High,High,Medium,High,Very High,Flood Risk,Medium
Democratic Republic of the Congo,Low,Tropical,Least Developed,Very Low,Adequate,Hydro,Very High,Christianity,Mining,Very Low,Republic,Forest,Low,Cobalt,Low,Very Low,Very Low,High,Very Low,Very Low,Conflict,Low
Denmark,High,Temperate,Developed,Very High,Adequate,Wind,Low,Christianity,Services,Very High,Constitutional Monarchy,Plains,High,None,High,Very High,Very High,Medium,Very High,Very High,Flood Risk,Very Low
Djibouti,Low,Desert,Developing,Low,Scarce,Solar,Very Low,Islam,Logistics,Low,Republic,Desert/Coast,High,None,Lower-Middle,Low,Low,Low,Medium,Medium,Drought,Low
Dominica,Medium,Tropical,Developing,Medium,Adequate,Hydro,Very Low,Christianity,Tourism,Agriculture,Republic,Island,Medium,None,Lower-Middle,Medium,Medium,Medium,High,High,Hurricanes,Low
Dominican Republic,Medium,Tropical,Developing,Medium,Moderate,Solar,Medium,Christianity,Tourism/Services,Medium,Republic,Island,High,None,Upper-Middle,Medium,Medium,Medium,High,Medium,Hurricanes,Medium
Ecuador,Medium,Tropical,Developing,Medium,Adequate,Hydro,Medium,Christianity,Agriculture/Oil,Medium,Republic,Mountain/Coast,High,Oil/Bananas,Upper-Middle,Medium,Medium,High,Medium,Medium,Volcano,Medium
Egypt,Medium,Desert,Developing,Medium,Scarce,Gas/Solar,Very High,Islam,Diversified,Medium,Republic,Desert/Nile,Very High,Gas,Lower-Middle,Medium,Medium,High,Medium,Medium,Flood Risk,High
El Salvador,Medium,Tropical,Developing,Medium,Moderate,Geothermal,Medium,Christianity,Services,Medium,Republic,Mountain,High,None,Upper-Middle,Medium,Medium,Medium,High,Medium,Earthquake,Low
Equatorial Guinea,High,Tropical,Developing,Low,Adequate,Oil,Very Low,Christianity,Oil,Low,Republic,Forest/Coast,Medium,Oil,Upper-Middle,Low,Low,Low,Low,Low,Flood Risk,High
Eritrea,Low,Dry,Least Developed,Very Low,Scarce,Solar,Low,Christianity/Islam,Agriculture,Very Low,Republic,Plateau/Coast,Low,Gold,Low,Very Low,Very Low,Medium,Low,Low,Drought,Very Low
Estonia,High,Cold,Developed,Very High,Adequate,Renewable,Low,Christianity,Digital Economy,High,Republic,Forest,High,Oil Shale,High,Very High,High,Low,Very High,Very High,Flood Risk,Low
Eswatini,Low,Subtropical,Developing,Low,Moderate,Hydro,Low,Christianity,Agriculture,Low,Monarchy,Mountain,Medium,Forests,Lower-Middle,Low,Low,Medium,Medium,Medium,Drought,Low
Ethiopia,Low,Tropical Highlands,Developing,Low,Moderate,Hydro,Very High,Christianity/Islam,Agriculture,Low,Federal Republic,Highlands,Medium,Coffee,Low,Low,Low,Very High,Low,Low,Drought,Very Low
Fiji,Medium,Tropical,Developing,Medium,Adequate,Hydro,Very Low,Christianity,Tourism,Medium,Republic,Island,Medium,Forests,Upper-Middle,Medium,Medium,Low,High,High,Cyclones,Low
Finland,High,Cold,Developed,Very High,Adequate,Nuclear/Renewable,Low,Christianity,Technology,Very High,Republic,Forest,Large Forests,Timber,High,Very High,Very High,Low,Very High,Very High,Flood Risk,Low
France,High,Temperate,Developed,Very High,Adequate,Nuclear,High,Christianity,Diversified,Very High,Republic,Plains,Very High,None,High,Very High,Very High,Medium,Very High,Very High,Flood Risk,Medium
Gabon,Medium,Tropical,Developing,Medium,Adequate,Oil/Hydro,Low,Christianity,Oil,Medium,Republic,Forest,Medium,Oil/Timber,Upper-Middle,Medium,Medium,Low,Medium,Medium,Flood Risk,Medium
Gambia,Low,Tropical,Developing,Low,Moderate,Solar,Low,Islam,Agriculture/Tourism,Low,Republic,River Plains,Medium,None,Low,Low,Low,High,Low,Medium,Flood Risk,Low
Georgia,Medium,Continental,Developing,Medium,Adequate,Hydro,Low,Christianity,Services,Medium,Republic,Mountain,Medium,Copper,Middle,Medium,Medium,Medium,High,Medium,Earthquake,Low
Germany,High,Temperate,Developed,Very High,Adequate,Renewable,High,Christianity,Industrial,Very High,Federal Republic,Plains,Very High,Coal,High,Very High,Very High,Medium,Very High,Very High,Flood Risk,Medium
Ghana,Medium,Tropical,Developing,Medium,Moderate,Hydro,High,Christianity,Agriculture/Mining,Medium,Republic,Coast/Savanna,High,Gold/Cocoa,Medium,Medium,Medium,High,Medium,Medium,Flood Risk,Medium
Greece,High,Mediterranean,Developed,High,Moderate,Solar/Wind,Medium,Christianity,Tourism,High,Republic,Mountain/Islands,High,None,High,High,High,Medium,High,High,Wildfires,Medium
Grenada,Medium,Tropical,Developing,Medium,Adequate,Solar,Very Low,Christianity,Tourism,Agriculture,Constitutional Monarchy,Island,Medium,Spices,Upper-Middle,Medium,Medium,Low,High,High,Hurricanes,Low
Guatemala,Medium,Tropical,Developing,Low,Moderate,Hydro,High,Christianity,Agriculture,Medium,Republic,Mountain,High,None,Lower-Middle,Low,Medium,High,Medium,Medium,Volcano,Low
Guinea,Low,Tropical,Least Developed,Very Low,Adequate,Hydro,High,Islam,Mining,Very Low,Republic,Forest,Bauxite,Low,Low,Very Low,Very Low,High,Low,Low,Flood Risk,Low
Guinea-Bissau,Low,Tropical,Least Developed,Very Low,Adequate,Solar,Very Low,Islam/Christianity,Agriculture,Very Low,Republic,Coast,Low,None,Low,Very Low,Very Low,High,Low,Low,Flood Risk,Very Low
Guyana,Medium,Tropical,Developing,Medium,Adequate,Oil/Hydro,Very Low,Christianity,Oil,Agriculture,Republic,Forest,Medium,Oil,Upper-Middle,Medium,Medium,Medium,High,Medium,Flood Risk,Medium
Haiti,Low,Tropical,Least Developed,Very Low,Moderate,Solar,High,Christianity,Agriculture,Very Low,Republic,Mountain,High,None,Low,Very Low,Very Low,High,Very Low,Very Low,Earthquake/Hurricanes,Very Low
Honduras,Low,Tropical,Developing,Low,Moderate,Hydro,Medium,Christianity,Agriculture,Low,Republic,Mountain,Medium,None,Lower-Middle,Low,Low,High,Medium,Low,Hurricanes,Low
Hungary,High,Continental,Developed,High,Adequate,Nuclear,Medium,Christianity,Industrial,High,Republic,Plains,High,None,High,High,High,Medium,High,High,Flood Risk,Medium
Iceland,High,Cold,Developed,Very High,Adequate,Geothermal/Hydro,Very Low,Christianity,Tourism/Fisheries,Very High,Republic,Island,High,Geothermal,High,Very High,Very High,Low,Very High,Very High,Volcano,Very Low
India,Medium,Tropical,Developing,High,Moderate,Coal/Solar,Very High,Hinduism,Diversified,Medium,Federal Republic,Large,High,Coal,Lower-Middle,High,Medium,Very High,Medium,Medium,Flood Risk,High
Indonesia,Medium,Tropical,Developing,Medium,Adequate,Coal/Geothermal,Very High,Islam,Diversified,Medium,Republic,Archipelago,High,Nickel,Upper-Middle,Medium,Medium,High,Medium,Medium,Volcano,Medium
Iran,Medium,Dry,Developing,Medium,Scarce,Oil/Gas,High,Islam,Oil,Medium,Islamic Republic,Mountain/Desert,High,Oil/Gas,Upper-Middle,Medium,Medium,Medium,High,Medium,Earthquake,High
Iraq,Medium,Desert,Developing,Low,Scarce,Oil,High,Islam,Oil,Low,Federal Republic,Desert,High,Oil,Upper-Middle,Low,Low,Medium,Medium,Low,Drought,High
Ireland,High,Temperate,Developed,Very High,Adequate,Wind,Medium,Christianity,Technology/Services,Very High,Republic,Island,High,None,High,Very High,Very High,Medium,Very High,Very High,Flood Risk,Low
Israel,High,Mediterranean,Developed,Very High,Scarce,Gas/Solar,Medium,Judaism,Technology,Very High,Parliamentary Republic,Coast/Desert,High,Gas,High,Very High,Very High,Low,Very High,Medium,Drought,Medium
Italy,High,Mediterranean,Developed,Very High,Adequate,Gas/Renewable,High,Christianity,Industrial/Tourism,Very High,Republic,Mountain/Coast,Very High,None,High,Very High,Very High,Medium,Very High,High,Earthquake,Medium
Jamaica,Medium,Tropical,Developing,Medium,Moderate,Solar,Medium,Christianity,Tourism,Medium,Constitutional Monarchy,Island,High,Bauxite,Upper-Middle,Medium,Medium,Medium,High,Medium,Hurricanes,Low
Japan,High,Temperate,Developed,Very High,Adequate,Nuclear/Renewable,High,Shinto/Buddhism,Industrial,Very High,Constitutional Monarchy,Island,Very High,None,High,Very High,Very High,Low,Very High,Very High,Earthquake,Medium
Jordan,Medium,Desert,Developing,Medium,Scarce,Solar,Medium,Islam,Services,Medium,Constitutional Monarchy,Desert,High,Phosphate,Upper-Middle,Medium,Medium,Low,High,High,Drought,Low
Kazakhstan,High,Continental,Developing,High,Moderate,Oil/Gas,Medium,Islam,Oil/Mining,High,Republic,Steppe,Urban High,Oil/Uranium,Upper-Middle,High,High,Medium,High,High,Drought,High
Kenya,Medium,Tropical,Developing,Medium,Moderate,Geothermal,High,Christianity,Agriculture/Services,Medium,Republic,Savanna,High,Tea,Lower-Middle,Medium,Medium,High,Medium,Medium,Drought,Low
Kiribati,Low,Tropical,Developing,Low,Scarce,Solar,Very Low,Christianity,Fisheries,Low,Republic,Island,Low,None,Lower-Middle,Low,Low,Low,Medium,Medium,Sea Level Rise,Very Low
Kuwait,High,Desert,Developed,High,Scarce,Oil,Low,Islam,Oil,High,Constitutional Monarchy,Desert,Very High,Oil,High,High,High,Low,High,High,Heat Waves,Very High
Kyrgyzstan,Low,Mountain,Developing,Low,Adequate,Hydro,Medium,Islam,Agriculture,Low,Republic,Mountain,Medium,Gold,Lower-Middle,Low,Low,High,Medium,Medium,Landslides,Low
Laos,Low,Tropical,Developing,Low,Adequate,Hydro,Medium,Buddhism,Hydropower,Low,Republic,Mountain,Low,Copper,Lower-Middle,Low,Low,High,Low,Medium,Flood Risk,Low
Latvia,High,Cold,Developed,High,Adequate,Renewable,Low,Christianity,Services,High,Republic,Forest,High,Timber,High,High,High,Medium,High,Very High,Flood Risk,Low
Lebanon,Medium,Mediterranean,Developing,Medium,Scarce,Solar,Medium,Islam/Christianity,Services,Low,Republic,Mountain/Coast,High,None,Lower-Middle,Medium,Low,Medium,High,Low,Economic Crisis,Low
Lesotho,Low,Mountain,Developing,Low,Adequate,Hydro,Low,Christianity,Agriculture,Low,Constitutional Monarchy,Mountain,Low,Water,Lower-Middle,Low,Low,High,Medium,Medium,Drought,Very Low
Liberia,Low,Tropical,Least Developed,Very Low,Adequate,Hydro,Medium,Christianity,Agriculture,Very Low,Republic,Forest,Medium,Iron Ore,Low,Very Low,Very Low,High,Low,Low,Flood Risk,Low
Libya,Medium,Desert,Developing,Low,Scarce,Oil,Medium,Islam,Oil,Low,Transitional,Desert,Medium,Oil,Upper-Middle,Low,Low,Low,Low,Low,Conflict,High
Liechtenstein,High,Alpine,Developed,Very High,Adequate,Hydro,Very Low,Christianity,Finance,Very High,Constitutional Monarchy,Mountain,High,None,High,Very High,Very High,Low,Very High,Very High,Avalanche,Very Low
Lithuania,High,Cold,Developed,High,Adequate,Renewable,Low,Christianity,Industrial,High,Republic,Plains,High,None,High,High,High,Medium,High,Very High,Flood Risk,Low
Luxembourg,High,Temperate,Developed,Very High,Adequate,Renewable,Very Low,Christianity,Finance,Very High,Constitutional Monarchy,Plains,Very High,None,High,Very High,Very High,Low,Very High,Very High,Flood Risk,Very Low
Madagascar,Low,Tropical,Least Developed,Very Low,Moderate,Hydro,Super High,Christianity,Agriculture,Very Low,Republic,Island,Low,Vanilla,Low,Very Low,Very Low,Very High,Low,Low,Cyclones,Very Low
Malawi,Low,Tropical,Least Developed,Very Low,Moderate,Hydro,High,Christianity,Agriculture,Very Low,Republic,Plateau,Low,Tobacco,Low,Very Low,Very Low,Very High,Low,Medium,Drought,Very Low
Malaysia,High,Tropical,Developing,High,Adequate,Oil/Gas,High,Islam,Industrial,High,Constitutional Monarchy,Peninsula,High,Oil/Palm Oil,Upper-Middle,High,High,High,High,High,Flood Risk,High
Maldives,High,Tropical,Developing,High,Scarce,Solar,Very Low,Islam,Tourism,High,Republic,Island,High,None,High,High,High,Low,High,High,Sea Level Rise,Very Low
Mali,Low,Desert,Least Developed,Very Low,Scarce,Solar,High,Islam,Agriculture,Very Low,Republic,Sahel,Low,Gold,Low,Very Low,Very Low,Very High,Low,Very Low,Drought,Very Low
Malta,High,Mediterranean,Developed,High,Scarce,Solar,Very Low,Christianity,Services,High,Republic,Island,Very High,None,High,High,High,Low,High,Very High,Drought,Low
Morocco,Medium,Mediterranean,Developing,Medium,Moderate,Solar,Medium,Islam,Diversified,Medium,Constitutional Monarchy,Mountains,High,Phosphates,Lower-Middle,Medium,Medium,Medium,Medium,Medium,Drought,Medium
Mozambique,Low,Tropical,Developing,Low,Moderate,Hydro,Medium,Christianity,Agriculture,Low,Republic,Coast,Medium,Gas,Low,Low,Low,Very High,Low,Low,Cyclones,Low
Myanmar,Low,Tropical,Developing,Low,Moderate,Hydro,Medium,Buddhism,Agriculture,Low,Military,Mountain/Forest,Low,Natural Gas,Lower-Middle,Low,Low,High,Low,Low,Flood Risk,Low
Mexico,High,Arid & Temperate,Developing,High,Moderate,Oil & Renewable,Very High,Christianity,Diversified,High,Federal Republic,Mountains & Plains,High,Oil & Silver,Upper-Middle,High,Medium,High,High,Medium,Earthquake & Hurricane,High
Mauritania,Low,Desert,Developing,Low,Scarce,Oil & Gas,Low,Islam,Mining,Low,Republic,Desert,Low,Iron Ore & Gold,Lower-Middle,Low,Low,Medium,Low,Medium,Drought,Low
Mauritius,High,Tropical,Developed,High,Adequate,Renewable & Imported,Low,Christianity & Hinduism,Services,High,Republic,Island,High,Tourism & Fisheries,High,High,High,Medium,High,High,Cyclone,Low
Monaco,Very High,Mediterranean,Developed,Very High,Adequate,Imported,Very Low,Christianity,Finance & Tourism,Very High,Constitutional Monarchy,Coastal,Very High,Finance,High,Very High,Very High,Low,Very High,Very High,Low,Low
Mongolia,Medium,Continental,Developing,Medium,Scarce,Coal,Low,Buddhism,Mining,Medium,Republic,Plateau & Steppe,Low,Coal & Copper,Upper-Middle,Medium,Medium,Medium,Medium,Medium,Drought & Extreme Cold,Medium
Montenegro,High,Mediterranean,Developing,High,Adequate,Hydropower,Low,Christianity,Tourism,High,Republic,Mountains,Medium,Hydropower,High,High,High,Medium,High,High,Earthquake,Low
Marshall Islands,Medium,Tropical,Developing,Medium,Adequate,Imported & Solar,Very Low,Christianity,Services,Medium,Republic,Island,High,Fisheries,Upper-Middle,Medium,Medium,Low,Medium,High,Sea Level Rise,Very Low
Micronesia,Medium,Tropical,Developing,Medium,Adequate,Imported & Solar,Very Low,Christianity,Fishing,Medium,Federal Republic,Island,Low,Fisheries,Lower-Middle,Medium,Medium,Low,Medium,High,Typhoon & Sea Level Rise,Very Low
Moldova,Medium,Continental,Developing,Medium,Adequate,Natural Gas,Medium,Christianity,Agriculture,Medium,Republic,Plains,Medium,Agriculture,Upper-Middle,Medium,Medium,High,High,Medium,Drought,Low
Namibia,Medium,Desert,Developing,Medium,Scarce,Solar,Very Low,Christianity,Mining,Medium,Republic,Desert,Low,Diamonds,Upper-Middle,Medium,Medium,Medium,Medium,Medium,Drought,Medium
Nauru,Medium,Tropical,Developing,Medium,Scarce,Solar,Very Low,Christianity,Services,Medium,Republic,Island,Very Low,Phosphate,High,Medium,Medium,Low,Medium,Medium,Sea Level Rise,Low
Nepal,Low,Mountain,Developing,Low,Adequate,Hydro,Medium,Hinduism,Tourism/Agriculture,Low,Federal Republic,Mountain,Medium,Hydropower,Low,Low,Low,High,Low,Low,Earthquake,Low
Netherlands,High,Temperate,Developed,Very High,Adequate,Wind,High,Christianity,Industrial,Very High,Constitutional Monarchy,Lowlands,Very High,None,High,Very High,Very High,Low,Very High,Very High,Flood Risk,Very High
New Zealand,High,Temperate,Developed,Very High,Adequate,Hydro/Geothermal,Low,Christianity,Agriculture,Very High,Constitutional Monarchy,Island,Very High,Dairy,High,Very High,Very High,Low,Very High,Very High,Earthquake,Medium
Nicaragua,Low,Tropical,Developing,Low,Moderate,Geothermal,Medium,Christianity,Agriculture,Low,Republic,Volcanic,Medium,Coffee,Lower-Middle,Low,Low,High,Medium,Low,Hurricanes,Low
Niger,Low,Desert,Least Developed,Very Low,Scarce,Solar,High,Islam,Agriculture,Very Low,Republic,Sahel,Low,Uranium,Low,Very Low,Very Low,Very High,Low,Very Low,Drought,Very Low
Nigeria,Medium,Tropical,Developing,Medium,Moderate,Oil/Gas,Very High,Christianity/Islam,Oil,Medium,Federal Republic,Savanna/Coast,Medium,Oil,Lower-Middle,Medium,Medium,Very High,Medium,Medium,Flood Risk,High
North Korea,Low,Continental,Developing,Low,Moderate,Coal,Low,None,State Economy,Very Low,Single Party,Mountain,Low,Coal,Low,Very Low,Very Low,Low,Very Low,Very Low,Food Shortage,Very Low
North Macedonia,Medium,Continental,Developing,Medium,Adequate,Hydro,Low,Christianity,Services,Medium,Republic,Mountain,Medium,None,Upper-Middle,Medium,Medium,Medium,Medium,Medium,Earthquake,Low
Norway,Very High,Cold,Developed,Very High,Adequate,Hydro,Low,Christianity,Oil/Services,Very High,Constitutional Monarchy,Mountain/Fjords,Very High,Oil/Gas,Very High,Very High,Very High,Low,Very High,Very High,Avalanche,Very High
Oman,High,Desert,Developing,High,Scarce,Oil/Gas,Sparse,Islam,Oil,High,Sultanate,Desert,High,Oil,High,High,High,Low,High,High,Drought,High
Pakistan,Medium,Subtropical,Developing,Medium,Moderate,Hydro,Very High,Islam,Agriculture,Medium,Federal Republic,Mountain/Plains,Medium,Textiles,Lower-Middle,Medium,Medium,Very High,Medium,Medium,Flood Risk,Medium
Palestine,Medium,Mediterranean,Developing,Medium,Scarce,Imported,High,Islam,Services,Medium,Parliamentary,Hills & Plains,High,Stone & Agriculture,Lower-Middle,Medium,Medium,Medium,High,Low,Conflict,Low
Panama,High,Tropical,Developing,High,Adequate,Hydro,Medium,Christianity,Services/Canal,High,Republic,Coast,High,Canal,High,High,High,Low,High,High,Flood Risk,Medium
Papua New Guinea,Low,Tropical,Developing,Low,Adequate,Hydro,Low,Christianity,Mining/Agriculture,Low,Constitutional Monarchy,Mountain/Forest,Low,Gold,Lower-Middle,Low,Low,High,Low,Low,Earthquake,Low
Paraguay,Medium,Subtropical,Developing,Medium,Adequate,Hydro,Low,Christianity,Agriculture,Medium,Republic,Plains,Medium,Soybeans,Upper-Middle,Medium,Medium,Medium,Medium,Medium,Flood Risk,Medium
Peru,Medium,Tropical/Andes,Developing,Medium,Adequate,Hydro,Medium,Christianity,Mining,Agriculture,Republic,Mountain/Coast,High,Copper,Upper-Middle,Medium,Medium,Medium,Medium,Medium,Earthquake,Medium
Philippines,Medium,Tropical,Developing,Medium,Adequate,Geothermal,Very High,Christianity,Services,Medium,Republic,Archipelago,High,Electronics,Lower-Middle,Medium,Medium,Very High,Medium,Medium,Typhoons,Medium
