Country_EN,Country_AR,Problem_EN,Problem_AR,Solution_EN,Solution_AR,Success_Rate,Implementation_Years,Sector_EN,Sector_AR
Italy,إيطاليا,Earthquake,الزلازل,Seismic Building Codes,معايير البناء المقاومة للزلازل,95,20,Construction,البناء
New Zealand,نيوزيلندا,Earthquake,الزلازل,Seismic Infrastructure Program,برنامج البنية التحتية المقاومة للزلازل,97,15,Construction,البناء
Belgium,بلجيكا,Flood Risk,خطر الفيضانات,Integrated River Management,الإدارة المتكاملة للأنهار,92,12,Infrastructure,البنية التحتية
Austria,النمسا,Avalanche Risk,خطر الانهيارات الثلجية,Avalanche Monitoring System,نظام مراقبة الانهيارات الثلجية,95,9,Environment,البيئة
Iceland,آيسلندا,Renewable Energy,الطاقة المتجددة,Geothermal Energy,الطاقة الحرارية الجوفية,99,18,Energy,الطاقة
Ireland,أيرلندا,Digital Government,الحكومة الرقمية,E-Government Services,الخدمات الحكومية الرقمية,95,6,Technology,التكنولوجيا
Estonia,إستونيا,Cybersecurity,الأمن السيبراني,E-Governance Security,أمن الحكومة الإلكترونية,99,8,Technology,التكنولوجيا
Luxembourg,لوكسمبورغ,Digital Economy,الاقتصاد الرقمي,National Digital Strategy,الاستراتيجية الرقمية الوطنية,96,7,Technology,التكنولوجيا
Chile,تشيلي,Earthquake,الزلازل,National Seismic Standards,المعايير الوطنية لمقاومة الزلازل,98,18,Construction,البناء
Peru,بيرو,Landslides,الانهيارات الأرضية,Slope Stabilization Program,برنامج تثبيت المنحدرات,90,9,Infrastructure,البنية التحتية
Mexico,المكسيك,Earthquake,الزلازل,Earthquake Early Warning System,نظام الإنذار المبكر للزلازل,97,10,Construction,البناء
South Africa,جنوب إفريقيا,Water Scarcity,ندرة المياه,Smart Water Distribution,التوزيع الذكي للمياه,88,8,Water,المياه
Kenya,كينيا,Drought,الجفاف,Rainwater Harvesting,حصاد مياه الأمطار,89,7,Water,المياه
Singapore,سنغافورة,Cybersecurity,الأمن السيبراني,Smart National Cyber Defense,الدفاع السيبراني الذكي,99,6,Technology,التكنولوجيا
Nigeria,نيجيريا,Food Security,الأمن الغذائي,Climate Smart Agriculture,الزراعة الذكية مناخيًا,88,8,Agriculture,الزراعة
Ethiopia,إثيوبيا,Drought,الجفاف,Irrigation Expansion,توسيع شبكات الري,87,10,Water,المياه
Rwanda,رواندا,Healthcare,الرعاية الصحية,Community Health System,نظام الصحة المجتمعية,95,8,Health,الصحة
Uganda,أوغندا,Food Security,الأمن الغذائي,Modern Farming Techniques,تقنيات الزراعة الحديثة,86,7,Agriculture,الزراعة
Ghana,غانا,Waste Management,إدارة النفايات,Urban Recycling Program,برنامج إعادة التدوير الحضري,89,7,Environment,البيئة
Senegal,السنغال,Water Scarcity,ندرة المياه,Solar Water Pumps,مضخات المياه بالطاقة الشمسية,88,6,Water,المياه
Tunisia,تونس,Water Scarcity,ندرة المياه,Efficient Irrigation Systems,أنظمة الري عالية الكفاءة,90,7,Water,المياه
Algeria,الجزائر,Desertification,التصحر,Great Green Dam,السد الأخضر,90,20,Environment,البيئة
Libya,ليبيا,Water Scarcity,ندرة المياه,Great Man-Made River,النهر الصناعي العظيم,91,18,Water,المياه
Namibia,ناميبيا,Drought,الجفاف,Water Conservation Strategy,استراتيجية المحافظة على المياه,92,9,Water,المياه
Botswana,بوتسوانا,Drought,الجفاف,National Water Management,الإدارة الوطنية للمياه,91,9,Water,المياه
Zimbabwe,زيمبابوي,Food Security,الأمن الغذائي,Drought Resistant Crops,محاصيل مقاومة للجفاف,86,7,Agriculture,الزراعة
Zambia,زامبيا,Food Security,الأمن الغذائي,Smart Irrigation Systems,أنظمة الري الذكية,87,7,Agriculture,الزراعة
India,الهند,Air Pollution,تلوث الهواء,Clean Air Mission,مهمة الهواء النظيف,90,8,Environment,البيئة
Pakistan,باكستان,Flood Risk,خطر الفيضانات,Flood Early Warning System,نظام الإنذار المبكر للفيضانات,88,8,Infrastructure,البنية التحتية
Bangladesh,بنغلاديش,Flood Risk,خطر الفيضانات,Floating Agriculture,الزراعة العائمة,94,9,Agriculture,الزراعة
Indonesia,إندونيسيا,Earthquake,الزلازل,Tsunami Warning System,نظام الإنذار بالتسونامي,95,10,Disaster Management,إدارة الكوارث
Philippines,الفلبين,Typhoon,الأعاصير,Disaster Preparedness Program,برنامج الاستعداد للكوارث,94,8,Disaster Management,إدارة الكوارث
Vietnam,فيتنام,Flood Risk,خطر الفيضانات,River Basin Management,إدارة أحواض الأنهار,91,8,Infrastructure,البنية التحتية
Thailand,تايلاند,Food Security,الأمن الغذائي,Precision Agriculture,الزراعة الدقيقة,90,7,Agriculture,الزراعة
Malaysia,ماليزيا,Digital Economy,الاقتصاد الرقمي,Digital Transformation Plan,خطة التحول الرقمي,94,6,Technology,التكنولوجيا
South Korea,كوريا الجنوبية,Cybersecurity,الأمن السيبراني,National Cyber Shield,الدرع الوطني السيبراني,98,7,Technology,التكنولوجيا
Japan,اليابان,Climate Change,التغير المناخي,Carbon Neutral Strategy,استراتيجية الحياد الكربوني,95,20,Environment,البيئة
China,الصين,Renewable Energy,الطاقة المتجددة,Solar Energy Expansion,التوسع في الطاقة الشمسية,95,15,Energy,الطاقة
Turkey,تركيا,Earthquake,الزلازل,Urban Seismic Renewal,تجديد المدن لمقاومة الزلازل,93,15,Construction,البناء
Greece,اليونان,Wildfires,حرائق الغابات,Forest Fire Prevention,الوقاية من حرائق الغابات,91,7,Environment,البيئة
Croatia,كرواتيا,Flood Risk,خطر الفيضانات,River Protection System,نظام حماية الأنهار,90,8,Infrastructure,البنية التحتية
Poland,بولندا,Air Pollution,تلوث الهواء,Clean Heating Program,برنامج التدفئة النظيفة,92,8,Environment,البيئة
Czech Republic,التشيك,Waste Management,إدارة النفايات,National Recycling Policy,السياسة الوطنية لإعادة التدوير,93,8,Environment,البيئة
Romania,رومانيا,Forest Protection,حماية الغابات,National Forest Monitoring,المراقبة الوطنية للغابات,91,9,Environment,البيئة
Argentina,الأرجنتين,Agricultural Productivity,الإنتاجية الزراعية,Precision Farming,الزراعة الدقيقة,94,8,Agriculture,الزراعة
Uruguay,أوروغواي,Livestock Management,إدارة الثروة الحيوانية,Smart Livestock Monitoring,المراقبة الذكية للماشية,95,7,Agriculture,الزراعة
Paraguay,باراغواي,Food Security,الأمن الغذائي,Sustainable Farming,الزراعة المستدامة,88,8,Agriculture,الزراعة
Bolivia,بوليفيا,Water Scarcity,ندرة المياه,Mountain Water Reservoirs,خزانات المياه الجبلية,87,9,Water,المياه
Chile,شيليا,Drought,الجفاف,Desalination for Agriculture,تحلية المياه للزراعة,93,10,Water,المياه
Colombia,كولومبيا,Biodiversity Loss,فقدان التنوع البيولوجي,Protected Natural Areas,المناطق الطبيعية المحمية,92,10,Environment,البيئة
Costa Rica,كوستاريكا,Biodiversity Loss,فقدان التنوع البيولوجي,Eco-Tourism Conservation,السياحة البيئية للحفاظ على الطبيعة,98,12,Environment,البيئة
Panama,بنما,Flood Risk,خطر الفيضانات,Urban Drainage Improvement,تطوير شبكات تصريف المياه,89,8,Infrastructure,البنية التحتية
Peru,بيرو,Water Scarcity,ندرة المياه,Glacier Water Management,إدارة مياه الأنهار الجليدية,90,10,Water,المياه
Ecuador,الإكوادور,Forest Protection,حماية الغابات,Amazon Conservation Program,برنامج حماية الأمازون,91,10,Environment,البيئة
Mexico,المكسيك,Air Pollution,تلوث الهواء,Urban Clean Transport,النقل الحضري النظيف,92,8,Transport,النقل
United States,الولايات المتحدة,Wildfires,حرائق الغابات,AI Fire Prediction,التنبؤ بالحرائق بالذكاء الاصطناعي,96,6,Technology,التكنولوجيا
Canada,كندا,Climate Change,التغير المناخي,National Climate Strategy,الاستراتيجية الوطنية للمناخ,95,15,Environment,البيئة
Iceland,آيسلندا,Climate Change,التغير المناخي,Carbon Capture Technology,تقنيات احتجاز الكربون,98,12,Environment,البيئة
Finland,فنلندا,Cybersecurity,الأمن السيبراني,National Cyber Center,المركز الوطني للأمن السيبراني,97,6,Technology,التكنولوجيا
Norway,النرويج,Electric Mobility,التنقل الكهربائي,Electric Vehicle Incentives,تشجيع السيارات الكهربائية,98,10,Transport,النقل
Sweden,السويد,Climate Change,التغير المناخي,Green Industry Program,برنامج الصناعة الخضراء,97,12,Environment,البيئة
Denmark,الدنمارك,Carbon Emissions,انبعاثات الكربون,Carbon Neutral Cities,مدن محايدة كربونيًا,98,15,Environment,البيئة
Germany,ألمانيا,Cybersecurity,الأمن السيبراني,Industrial Cyber Protection,حماية الأمن السيبراني الصناعي,96,8,Technology,التكنولوجيا
France,فرنسا,Climate Change,التغير المناخي,Green Transition Plan,خطة التحول الأخضر,95,15,Environment,البيئة
Italy,إيطاليا,Flood Risk,خطر الفيضانات,Smart River Monitoring,المراقبة الذكية للأنهار,91,8,Infrastructure,البنية التحتية
Spain,إسبانيا,Renewable Energy,الطاقة المتجددة,Solar Energy Expansion,التوسع في الطاقة الشمسية,97,10,Energy,الطاقة
Portugal,البرتغال,Renewable Energy,الطاقة المتجددة,Green Hydrogen Program,برنامج الهيدروجين الأخضر,95,12,Energy,الطاقة
Belgium,بلجيكا,Digital Government,الحكومة الرقمية,Integrated Digital Services,الخدمات الرقمية المتكاملة,95,6,Technology,التكنولوجيا
Netherlands,هولندا,Smart Agriculture,الزراعة الذكية,AI Crop Monitoring,مراقبة المحاصيل بالذكاء الاصطناعي,98,7,Agriculture,الزراعة
Austria,النمسا,Renewable Energy,الطاقة المتجددة,Hydroelectric Expansion,توسيع الطاقة الكهرومائية,96,12,Energy,الطاقة
Switzerland,سويسرا,Disaster Management,إدارة الكوارث,Integrated Risk Management,الإدارة المتكاملة للمخاطر,97,8,Safety,السلامة
Ireland,أيرلندا,Digital Economy,الاقتصاد الرقمي,Innovation Strategy,استراتيجية الابتكار,95,6,Technology,التكنولوجيا
Estonia,إستونيا,Digital Identity,الهوية الرقمية,National Digital Identity,الهوية الرقمية الوطنية,99,5,Technology,التكنولوجيا
Luxembourg,لوكسمبورغ,Financial Technology,التكنولوجيا المالية,Digital Banking System,النظام المصرفي الرقمي,96,5,Finance,المالية
South Korea,كوريا الجنوبية,Traffic Congestion,الازدحام المروري,Smart Traffic Management,الإدارة الذكية لحركة المرور,97,6,Transport,النقل
Singapore,سنغافورة,Traffic Congestion,الازدحام المروري,Electronic Road Pricing,التسعير الإلكتروني للطرق,99,5,Transport,النقل
Japan,اليابان,Aging Population,شيخوخة السكان,Elderly Care Technology,تقنيات رعاية كبار السن,96,8,Health,الصحة
Germany,ألمانيا,Industrial Pollution,التلوث الصناعي,Clean Manufacturing,التصنيع النظيف,95,10,Industry,الصناعة
France,فرنسا,Urban Mobility,التنقل الحضري,Green Public Transport,النقل العمومي الأخضر,94,8,Transport,النقل
China,الصين,Urbanization,التوسع الحضري,Smart Cities,المدن الذكية,95,10,Urban Development,التنمية الحضرية
India,الهند,Digital Inclusion,الشمول الرقمي,National Digital Identity,الهوية الرقمية الوطنية,93,7,Technology,التكنولوجيا
Brazil,البرازيل,Public Health,الصحة العامة,Family Health Program,برنامج صحة الأسرة,91,9,Health,الصحة
Australia,أستراليا,Water Management,إدارة المياه,Integrated Water Planning,التخطيط المتكامل للمياه,95,10,Water,المياه
Canada,كندا,Renewable Energy,الطاقة المتجددة,National Clean Energy Plan,الخطة الوطنية للطاقة النظيفة,96,12,Energy,الطاقة
Finland,فنلندا,Artificial Intelligence,الذكاء الاصطناعي,National AI Strategy,الاستراتيجية الوطنية للذكاء الاصطناعي,98,6,Technology,التكنولوجيا
Estonia,إستونيا,E-Government,الحكومة الإلكترونية,Digital Public Services,الخدمات الحكومية الرقمية,99,5,Technology,التكنولوجيا
United Arab Emirates,الإمارات العربية المتحدة,Artificial Intelligence,الذكاء الاصطناعي,National AI Strategy,الاستراتيجية الوطنية للذكاء الاصطناعي,97,6,Technology,التكنولوجيا
Saudi Arabia,المملكة العربية السعودية,Digital Transformation,التحول الرقمي,Vision 2030 Digital Programs,برامج التحول الرقمي لرؤية 2030,95,8,Technology,التكنولوجيا
Morocco,المغرب,Water Management,إدارة المياه,Dam Management Strategy,استراتيجية إدارة السدود,92,10,Water,المياه
Algeria,الجزائر,Renewable Energy,الطاقة المتجددة,Solar Energy Development,تطوير الطاقة الشمسية,90,12,Energy,الطاقة
Tunisia,تونس,Digital Economy,الاقتصاد الرقمي,Startup Ecosystem Support,دعم منظومة الشركات الناشئة,91,6,Technology,التكنولوجيا
Egypt,مصر,Food Security,الأمن الغذائي,National Greenhouse Agriculture,الزراعة المحمية الوطنية,90,8,Agriculture,الزراعة
Qatar,قطر,Smart Cities,المدن الذكية,Integrated Smart Infrastructure,البنية التحتية الذكية المتكاملة,96,7,Urban Development,التنمية الحضرية
Norway,النرويج,Carbon Emissions,انبعاثات الكربون,Carbon Storage Projects,مشاريع تخزين الكربون,98,12,Environment,البيئة
Ireland,أيرلندا,Cybersecurity,الأمن السيبراني,National Cyber Strategy,الاستراتيجية الوطنية للأمن السيبراني,96,6,Technology,التكنولوجيا
Switzerland,سويسرا,Banking Security,الأمن المصرفي,Secure Financial Infrastructure,البنية التحتية المالية الآمنة,98,7,Finance,المالية
Belgium,بلجيكا,Healthcare,الرعاية الصحية,Integrated Hospital Network,شبكة المستشفيات المتكاملة,95,9,Health,الصحة
Mexico,المكسيك,Crime Prevention,الوقاية من الجريمة,Smart Surveillance Systems,أنظمة المراقبة الذكية,89,7,Security,الأمن
Chile,تشيلي,Mining Sustainability,استدامة التعدين,Sustainable Mining Technologies,تقنيات التعدين المستدام,94,10,Industry,الصناعة
Argentina,الأرجنتين,Economic Crisis,أزمة اقتصادية,Economic Stabilization Plan,خطة الاستقرار الاقتصادي,88,8,Economy,الاقتصاد
South Africa,جنوب إفريقيا,Electricity Crisis,أزمة الكهرباء,Solar and Wind Expansion,التوسع في الطاقة الشمسية والرياح,90,10,Energy,الطاقة
Kenya,كينيا,Digital Payments,المدفوعات الرقمية,Mobile Payment Ecosystem,منظومة الدفع عبر الهاتف,96,5,Finance,المالية
Rwanda,رواندا,Digital Health,الصحة الرقمية,Electronic Health Records,السجلات الصحية الإلكترونية,95,6,Health,الصحة
New Zealand,نيوزيلندا,Climate Resilience,القدرة على التكيف مع المناخ,National Climate Adaptation Plan,الخطة الوطنية للتكيف المناخي,97,10,Environment,البيئة
Malaysia,ماليزيا,Smart Cities,المدن الذكية,Integrated Smart City Platform,منصة المدن الذكية المتكاملة,95,7,Technology,التكنولوجيا
Indonesia,إندونيسيا,Tsunami,التسونامي,Tsunami Early Warning System,نظام الإنذار المبكر بالتسونامي,96,8,Disaster Management,إدارة الكوارث
Philippines,الفلبين,Flood Risk,خطر الفيضانات,Flood Forecasting System,نظام التنبؤ بالفيضانات,93,7,Infrastructure,البنية التحتية
Vietnam,فيتنام,Climate Change,التغير المناخي,Climate Adaptation Strategy,استراتيجية التكيف المناخي,92,9,Environment,البيئة
Thailand,تايلاند,Tourism Sustainability,استدامة السياحة,Sustainable Tourism Program,برنامج السياحة المستدامة,91,6,Tourism,السياحة
Nepal,نيبال,Earthquake,الزلازل,Earthquake Preparedness Program,برنامج الاستعداد للزلازل,92,8,Construction,البناء
Bhutan,بوتان,Forest Protection,حماية الغابات,National Forest Conservation,الحفاظ الوطني على الغابات,98,12,Environment,البيئة
Sri Lanka,سريلانكا,Flood Risk,خطر الفيضانات,River Basin Protection,حماية أحواض الأنهار,90,8,Infrastructure,البنية التحتية
Pakistan,باكستان,Heat Waves,موجات الحر,Heat Action Plan,خطة مواجهة موجات الحر,89,6,Health,الصحة
Bangladesh,بنغلاديش,Cyclones,الأعاصير,Community Cyclone Shelters,ملاجئ الأعاصير المجتمعية,97,9,Disaster Management,إدارة الكوارث
Kazakhstan,كازاخستان,Renewable Energy,الطاقة المتجددة,Wind Energy Expansion,التوسع في طاقة الرياح,91,10,Energy,الطاقة
Uzbekistan,أوزبكستان,Water Scarcity,ندرة المياه,Efficient Irrigation Network,شبكة الري الفعالة,89,8,Water,المياه
Kyrgyzstan,قيرغيزستان,Landslides,الانهيارات الأرضية,Slope Monitoring System,نظام مراقبة المنحدرات,88,7,Infrastructure,البنية التحتية
Tajikistan,طاجيكستان,Hydropower,الطاقة الكهرومائية,Hydropower Development,تطوير الطاقة الكهرومائية,92,12,Energy,الطاقة
Mongolia,منغوليا,Desertification,التصحر,Grassland Restoration,استعادة المراعي,90,10,Environment,البيئة
Cambodia,كمبوديا,Food Security,الأمن الغذائي,Rice Productivity Program,برنامج رفع إنتاج الأرز,88,7,Agriculture,الزراعة
Laos,لاوس,Hydropower,الطاقة الكهرومائية,Hydroelectric Expansion,توسيع الطاقة الكهرومائية,91,11,Energy,الطاقة
Myanmar,ميانمار,Cyclones,الأعاصير,Disaster Response Network,شبكة الاستجابة للكوارث,87,7,Disaster Management,إدارة الكوارث
Brunei,بروناي,Digital Government,الحكومة الرقمية,E-Government Platform,منصة الحكومة الإلكترونية,95,5,Technology,التكنولوجيا
Maldives,المالديف,Sea Level Rise,ارتفاع مستوى البحر,Coastal Protection Program,برنامج حماية السواحل,94,10,Environment,البيئة
Cuba,كوبا,Hurricanes,الأعاصير,National Hurricane Preparedness,الاستعداد الوطني للأعاصير,98,8,Disaster Management,إدارة الكوارث
Jamaica,جامايكا,Hurricanes,الأعاصير,Storm Preparedness Plan,خطة الاستعداد للعواصف,92,7,Disaster Management,إدارة الكوارث
Dominican Republic,جمهورية الدومينيكان,Flood Risk,خطر الفيضانات,Urban Flood Control,التحكم الحضري في الفيضانات,89,7,Infrastructure,البنية التحتية
Costa Rica,كوستاريكا,Renewable Energy,الطاقة المتجددة,100 Percent Renewable Electricity,الكهرباء المتجددة بالكامل,99,15,Energy,الطاقة
Guatemala,غواتيمالا,Volcanoes,البراكين,Volcano Monitoring Network,شبكة مراقبة البراكين,91,8,Disaster Management,إدارة الكوارث
Honduras,هندوراس,Food Security,الأمن الغذائي,Rural Agriculture Support,دعم الزراعة الريفية,87,7,Agriculture,الزراعة
El Salvador,السلفادور,Earthquake,الزلازل,Seismic Safety Standards,معايير السلامة الزلزالية,90,10,Construction,البناء
Nicaragua,نيكاراغوا,Hurricanes,الأعاصير,Early Warning Network,شبكة الإنذار المبكر,89,7,Disaster Management,إدارة الكوارث
Panama,بنما,Logistics,الخدمات اللوجستية,Smart Port Management,الإدارة الذكية للموانئ,95,6,Transport,النقل
Paraguay,باراغواي,Renewable Energy,الطاقة المتجددة,Hydroelectric Optimization,تحسين الطاقة الكهرومائية,96,10,Energy,الطاقة
Uruguay,أوروغواي,Wind Energy,طاقة الرياح,National Wind Program,البرنامج الوطني لطاقة الرياح,98,10,Energy,الطاقة
Venezuela,فنزويلا,Electricity Crisis,أزمة الكهرباء,Grid Modernization,تحديث شبكة الكهرباء,85,9,Energy,الطاقة
Guyana,غيانا,Forest Protection,حماية الغابات,Sustainable Forest Management,الإدارة المستدامة للغابات,92,9,Environment,البيئة
Suriname,سورينام,Biodiversity Loss,فقدان التنوع البيولوجي,Rainforest Conservation,حماية الغابات المطيرة,94,10,Environment,البيئة
Mali,مالي,Desertification,التصحر,Anti Desertification Program,برنامج مكافحة التصحر,87,9,Environment,البيئة
Niger,النيجر,Water Scarcity,ندرة المياه,Groundwater Development,تطوير المياه الجوفية,86,8,Water,المياه
Mauritania,موريتانيا,Desertification,التصحر,Sand Stabilization Projects,مشاريع تثبيت الرمال,88,9,Environment,البيئة
Somalia,الصومال,Drought,الجفاف,Emergency Water Supply,الإمداد الطارئ بالمياه,84,5,Water,المياه
Sudan,السودان,Food Security,الأمن الغذائي,Irrigated Agriculture,الزراعة المروية,86,8,Agriculture,الزراعة
South Sudan,جنوب السودان,Food Security,الأمن الغذائي,Agricultural Recovery Program,برنامج التعافي الزراعي,83,7,Agriculture,الزراعة
Cameroon,الكاميرون,Flood Risk,خطر الفيضانات,Integrated Flood Management,الإدارة المتكاملة للفيضانات,89,8,Infrastructure,البنية التحتية
Congo,الكونغو,Forest Protection,حماية الغابات,Tropical Forest Conservation,حماية الغابات الاستوائية,94,10,Environment,البيئة
Gabon,الغابون,Biodiversity Loss,فقدان التنوع البيولوجي,National Parks Network,شبكة المتنزهات الوطنية,97,10,Environment,البيئة
Madagascar,مدغشقر,Biodiversity Loss,فقدان التنوع البيولوجي,Species Conservation Program,برنامج حماية الأنواع,95,9,Environment,البيئة
Seychelles,سيشل,Marine Protection,حماية البيئة البحرية,Marine Protected Areas,المناطق البحرية المحمية,98,8,Environment,البيئة
Mauritius,موريشيوس,Coastal Erosion,تآكل السواحل,Coastal Defense Program,برنامج حماية السواحل,94,8,Environment,البيئة
Fiji,فيجي,Climate Change,التغير المناخي,Climate Resilience Plan,خطة الصمود المناخي,95,9,Environment,البيئة
Samoa,ساموا,Cyclones,الأعاصير,National Cyclone Response,الاستجابة الوطنية للأعاصير,93,7,Disaster Management,إدارة الكوارث
Tonga,تونغا,Tsunami,التسونامي,Tsunami Preparedness Program,برنامج الاستعداد للتسونامي,94,8,Disaster Management,إدارة الكوارث
Vanuatu,فانواتو,Volcanoes,البراكين,Volcano Risk Monitoring,مراقبة مخاطر البراكين,92,8,Disaster Management,إدارة الكوارث
Papua New Guinea,بابوا غينيا الجديدة,Landslides,الانهيارات الأرضية,Geological Monitoring,المراقبة الجيولوجية,89,7,Infrastructure,البنية التحتية
Solomon Islands,جزر سليمان,Sea Level Rise,ارتفاع مستوى البحر,Island Protection Strategy,استراتيجية حماية الجزر,91,9,Environment,البيئة
Kiribati,كيريباس,Sea Level Rise,ارتفاع مستوى البحر,Climate Migration Planning,التخطيط للهجرة المناخية,93,10,Environment,البيئة
Tuvalu,توفالو,Sea Level Rise,ارتفاع مستوى البحر,National Adaptation Plan,الخطة الوطنية للتكيف,92,10,Environment,البيئة
Nauru,ناورو,Water Scarcity,ندرة المياه,Rainwater Harvesting Systems,أنظمة حصاد مياه الأمطار,90,6,Water,المياه
Palau,بالاو,Marine Protection,حماية البيئة البحرية,Ocean Conservation Program,برنامج حماية المحيطات,97,8,Environment,البيئة
Micronesia,ميكرونيزيا,Climate Change,التغير المناخي,Island Climate Strategy,استراتيجية المناخ للجزر,91,9,Environment,البيئة
Afghanistan,أفغانستان,Terrorism,الإرهاب,National Counterterrorism Strategy,استراتيجية وطنية لمكافحة الإرهاب,95,12,Security,الأمن
Ukraine,أوكرانيا,Armed Conflict,النزاعات المسلحة,Peace Negotiations and International Mediation,المفاوضات السلمية والوساطة الدولية,94,15,Security,الأمن
Argentina,الأرجنتين,Inflation,التضخم,Monetary Stabilization Program,برنامج الاستقرار النقدي,92,8,Economy,الاقتصاد
South Africa,جنوب إفريقيا,Unemployment,البطالة,National Employment and Skills Development Program,برنامج وطني للتشغيل وتنمية المهارات,93,10,Economy,الاقتصاد
Myanmar,ميانمار,Political Instability,عدم الاستقرار السياسي,National Dialogue and Democratic Reform,الحوار الوطني والإصلاح الديمقراطي,91,12,Governance,الحوكمة
Sudan,السودان,Humanitarian Crisis,الأزمة الإنسانية,Emergency Humanitarian Response Plan,خطة استجابة إنسانية طارئة,95,6,Humanitarian,العمل الإنساني
Lebanon,لبنان,Financial Crisis,الأزمة المالية,Banking Sector Reform and Economic Recovery,إصلاح القطاع المصرفي والتعافي الاقتصادي,92,9,Economy,الاقتصاد
Germany,ألمانيا,Energy Security,أمن الطاقة,Diversified Energy Supply Strategy,استراتيجية تنويع مصادر الطاقة,94,10,Energy,الطاقة
Japan,اليابان,Supply Chain Disruption,اضطراب سلاسل الإمداد,Smart Supply Chain Resilience Program,برنامج ذكي لتعزيز مرونة سلاسل الإمداد,92,7,Logistics,اللوجستيات
Türkiye,تركيا,Refugee Crisis,أزمة اللاجئين,Integrated Refugee Support and Reintegration Program,برنامج متكامل لدعم وإعادة إدماج اللاجئين,93,8,Humanitarian,العمل الإنساني
Sweden,السويد,Mental Health,الصحة النفسية,National Mental Health Strategy,الاستراتيجية الوطنية للصحة النفسية,96,8,Healthcare,الصحة
Canada,كندا,Drug Trafficking,تهريب المخدرات,Integrated Border Drug Control System,نظام متكامل لمكافحة تهريب المخدرات عبر الحدود,92,9,Security,الأمن
Italy,إيطاليا,Organized Crime,الجريمة المنظمة,National Anti-Mafia Program,البرنامج الوطني لمكافحة المافيا,95,15,Security,الأمن
